"filename", "language", "Python", "comment", "blank", "total"
"c:\Users\remne\Documents\Python\Test-Task-API-2\app\bot\routers\all_informatioans.py", "Python", 2, 0, -1, 1
"c:\Users\remne\Documents\Python\Test-Task-API-2\app\bot\routers\sub_for_item.py", "Python", 7, 0, 1, 8
"Total", "-", 9, 0, 0, 9
