"filename", "language", "Python", "comment", "blank", "total"
"c:\Users\remne\Documents\Python\Test-Task-API-2\app\bot\routers\all_informatioans.py", "Python", 28, 0, 3, 31
"c:\Users\remne\Documents\Python\Test-Task-API-2\app\bot\routers\sub_for_item.py", "Python", 2, 0, -1, 1
"c:\Users\remne\Documents\Python\Test-Task-API-2\app\utils\data_base_communications\get_item.py", "Python", 9, 0, 2, 11
"Total", "-", 39, 0, 4, 43
